Year,Web Search,Shopping Search,YouTube Search
2021,"F1 Standings, F1 Schedule, F1 Results","McLaren F1, F1 Car, F1 2021","F1 2021, F1 Highlights, F1 Race"
2022,"F1 Standings, F1 Schedule, Miami GP","McLaren F1, F1 Car, Ferrari F1","2022 F1, F1 Highlights, F1 22"
2023,"F1 Standings, F1 Schedule, Las Vegas GP","F1 Car, McLaren F1, F1 2023","2023 F1, F1 Highlights, Vegas F1"
2024,"F1 Standings, F1 Schedule, Lando Norris","F1 Car, McLaren F1, F1 LEGO","F1 Highlights, 2024 F1, F1 Car"
2025,"F1 Standings, F1 Schedule, F1 Movie","F1 Car, F1 LEGO, Ferrari","F1 Highlights, F1 Movie, F1 2025"
